ID,Num_of_Vehicle,Num_Of_Pedestrians,Num_of_Minimal_Injuries,Num_of_Minor_Injuries,Num_of_Major_Injuries,Num_of_Fatal_Injuries,City,Address,Location type,Neighborhood,Suburb,Lat,Long,Place_name,Population,Population_density_persqm,Day,Time,Hour,Minute,AMPM,Notation12,Calendar_Date,Month,Year,Quarter,is_Business_Day,Visibility,Light,Road_surface,Traffic_Control,is_day,temperature,sunset,sunrise,precipitation
19,2,0,1,0,1,0,Ottawa,LYNDA LANE @ SMYTH RD,Intersection,Unknown,Ottawa,45.39947396,-75.64659888,Ottawa,5501,3865,Monday,14:01,14,1,PM,2:01,2017-03-27,March,2017,1st,Yes,rain,daylight,wet,stop sign,1,3.0,2017-03-27T18:24,2017-03-27T05:51,0.1
20,1,1,0,0,1,0,Ottawa,BLOHM DR @ MALAK ST,Intersection,Hunt Club Park,Ottawa,45.3690256,-75.61541907,Ottawa,5501,3865,Tuesday,21:02,21,2,PM,9:02,2017-04-18,April,2017,2nd,Yes,clear,dark,dry,stop sign,0,3.8,2017-04-18T18:52,2017-04-18T05:11,0.0
21,1,0,0,0,0,2,Ottawa,BASELINE RD @ ZENA ST,Intersection,Fisher Heights,Nepean,45.36849401,-75.72342926,Nepean,186593,860,Saturday,14:30,14,30,PM,2:30,2017-04-15,April,2017,2nd,No,clear,daylight,dry,stop sign,1,15.4,2017-04-15T18:48,2017-04-15T05:16,0.1
22,1,1,0,0,1,0,Ottawa,BAY ST @ LAURIER AVE,Intersection,Chinatown,Centretown,45.41615791,-75.70482783,Centretown,25687,12231,Tuesday,15:24,15,24,PM,3:24,2017-03-28,March,2017,1st,Yes,clear,daylight,dry,traffic signal,1,10.5,2017-03-28T18:25,2017-03-28T05:49,0.0
23,1,1,0,0,0,1,Ottawa,PRESTONE DR btwn HATFIELD CRES & LEFEBVRE WAY,Midblock,Queenswood Heights,Orléans,45.47438764,-75.50114715,Orléans,139309,677,Wednesday,10:44,10,44,AM,10:44,2017-04-12,April,2017,2nd,Yes,clear,daylight,dry,no control,1,8.0,2017-04-12T18:44,2017-04-12T05:20,0.0
24,2,0,0,0,3,0,Ottawa,AIRPORT PKWY,Midblock,Ellwood,Ottawa,45.36444918,-75.66503121,Ottawa,5501,3865,Wednesday,9:02,9,2,AM,9:02,2017-03-29,March,2017,1st,Yes,clear,daylight,dry,no control,1,3.4,2017-03-29T18:26,2017-03-29T05:47,0.0
25,1,0,0,0,1,1,Ottawa,MERIVALE RD btwn LAROSE AVE & RAVEN AVE,Midblock,Unknown,Carlington,45.37936227,-75.73332701,Carlington,11363,3500,Saturday,2:33,2,33,AM,2:33,2017-03-25,March,2017,1st,No,snow,dark,wet,no control,0,-0.7,2017-03-25T18:21,2017-03-25T05:55,0.0
26,1,1,0,0,1,0,Ottawa,BISCAYNE CRES @ VIEWMOUNT DR,Intersection,Borden Farm,Nepean,45.34537199,-75.72016162,Nepean,186593,860,Sunday,20:34,20,34,PM,8:34,2017-04-16,April,2017,2nd,No,rain,dark,wet,stop sign,0,8.8,2017-04-16T18:50,2017-04-16T05:14,0.0
27,1,0,0,0,1,0,Ottawa,KING EDWARD AVE @ RIDEAU ST,Intersection,Byward Market,Lowertown,45.42877182,-75.68577497,Lowertown,9605,6052,Wednesday,1:15,1,15,AM,1:15,2017-05-03,May,2017,2nd,Yes,clear,dark,dry,traffic signal,0,6.6,2017-05-03T19:11,2017-05-03T04:47,0.0
28,4,0,2,0,1,0,Ottawa,MARAVISTA DR @ STRANDHERD DR,Intersection,Unknown,Barrhaven West,45.26895318,-75.78011984,Barrhaven West,103234,2404,Thursday,17:23,17,23,PM,5:23,2017-05-18,May,2017,2nd,Yes,clear,daylight,dry,traffic signal,1,25.6,2017-05-18T19:29,2017-05-18T04:29,0.0
29,1,2,0,0,2,0,Ottawa,ROBERTSON RD btwn FITZGERALD RD & MOODIE DR,Midblock,Westcliffe Estates,Nepean,45.3214565,-75.83487237,Nepean,186593,860,Saturday,12:44,12,44,PM,12:44,2017-05-20,May,2017,2nd,No,clear,daylight,dry,no control,1,14.2,2017-05-20T19:32,2017-05-20T04:27,0.0
30,2,0,0,0,1,0,Ottawa,CALDWELL AVE @ MERIVALE RD,Intersection,Unknown,Carlington,45.37344997,-75.73258659,Carlington,11363,3500,Saturday,18:37,18,37,PM,6:37,2017-04-29,April,2017,2nd,No,clear,daylight,dry,traffic signal,1,9.8,2017-04-29T19:06,2017-04-29T04:53,0.0
31,1,0,0,0,1,0,Ottawa,DWYER HILL RD @ FERNBANK RD,Intersection,Unknown,Ottawa,45.18451473,-76.01495505,Ottawa,5501,3865,Monday,5:05,5,5,AM,5:05,2017-05-08,May,2017,2nd,Yes,rain,dark,wet,stop sign,1,0.0,2017-05-08T19:18,2017-05-08T04:42,0.0
32,2,0,0,0,1,0,Ottawa,WALKLEY EXTENSION RD btwn HWY417 IC110 RAMP56 & HWY417 IC110 RAMP65,Midblock,Gloucester-Southgate,Gloucester,45.3981211,-75.5928503,Gloucester,150012,500,Tuesday,14:17,14,17,PM,2:17,2017-05-16,May,2017,2nd,Yes,clear,daylight,dry,no control,1,20.8,2017-05-16T19:27,2017-05-16T04:30,0.0
33,2,0,0,1,1,0,Ottawa,FALLOWFIELD RD btwn HWY416 IC66 RAMP53 & MOODIE DR,Midblock,Unknown,Nepean,45.26979066,-75.8016483,Nepean,186593,860,Sunday,21:26,21,26,PM,9:26,2017-05-28,May,2017,2nd,No,clear,dark,dry,no control,0,16.9,2017-05-28T19:40,2017-05-28T04:20,0.0
34,2,0,0,0,0,1,Ottawa,NORICE ST @ WOODROFFE AVE,Intersection,College,Nepean,45.3390885,-75.75490444,Nepean,186593,860,Thursday,23:30,23,30,PM,11:30,2017-05-11,May,2017,2nd,Yes,clear,dark,dry,traffic signal,0,8.7,2017-05-11T19:21,2017-05-11T04:37,0.0
35,2,0,0,0,1,0,Ottawa,ST. JOSEPH BLVD btwn DUSSERE ST & ST. JEAN ST,Midblock,Orléans Central,Gloucester,45.47026216,-75.52657122,Gloucester,150012,500,Wednesday,11:45,11,45,AM,11:45,2017-05-10,May,2017,2nd,Yes,clear,daylight,dry,no control,1,10.8,2017-05-10T19:19,2017-05-10T04:37,0.0
36,2,0,0,0,1,0,Ottawa,WOODROFFE AVE btwn BASELINE RD & FIRESTATION,Midblock,College,Ottawa,45.35160489,-75.76303164,Ottawa,5501,3865,Friday,9:21,9,21,AM,9:21,2017-05-12,May,2017,2nd,Yes,clear,daylight,dry,no control,1,13.4,2017-05-12T19:22,2017-05-12T04:35,0.0
37,1,0,0,0,1,0,Ottawa,LAWRENCE ST btwn CARACOURT DR & TALBOT ST,Midblock,Unknown,Ottawa,45.15812241,-75.4684104,Ottawa,5501,3865,Friday,16:18,16,18,PM,4:18,2017-05-12,May,2017,2nd,Yes,clear,daylight,dry,no control,1,16.1,2017-05-12T19:21,2017-05-12T04:35,0.0
38,3,0,0,0,1,0,Ottawa,WEST HUNT CLUB RD @ CLEOPATRA DR/LANCELOT DR,Intersection,Knoxdale-Merivale,Nepean,45.33294418,-75.72895385,Nepean,186593,860,Tuesday,11:18,11,18,AM,11:18,2017-05-23,May,2017,2nd,Yes,clear,daylight,dry,traffic signal,1,18.5,2017-05-23T19:35,2017-05-23T04:24,0.0
39,2,0,1,0,1,0,Ottawa,RIVER RD btwn EDGEWATER DR & WOODEDEN DR,Midblock,Unknown,Manotick,45.18334134,-75.6274172,Manotick,5315,791,Wednesday,15:21,15,21,PM,3:21,2017-05-17,May,2017,2nd,Yes,clear,daylight,dry,no control,1,27.2,2017-05-17T19:27,2017-05-17T04:30,0.0
40,2,0,0,0,1,0,Ottawa,ALBERT ST @ COMMISSIONER ST,Intersection,Chinatown,Centretown,45.41595243,-75.7089322,Centretown,25687,12231,Wednesday,15:30,15,30,PM,3:30,2017-05-17,May,2017,2nd,Yes,clear,daylight,dry,stop sign,1,29.1,2017-05-17T19:28,2017-05-17T04:29,0.0
41,2,0,0,0,1,0,Ottawa,ARLINGTON AVE @ BRONSON AVE,Intersection,Chinatown,Centretown,45.40597374,-75.7025776,Centretown,25687,12231,Tuesday,19:42,19,42,PM,7:42,2017-05-23,May,2017,2nd,Yes,clear,daylight,dry,traffic signal,1,16.5,2017-05-23T19:35,2017-05-23T04:23,0.0
42,2,0,0,1,0,1,Ottawa,MITCH OWENS RD btwn DOWNEY RD & MANOTICK STATION RD,Midblock,Unknown,Manotick,45.25508168,-75.62675875,Manotick,5315,791,Monday,10:47,10,47,AM,10:47,2017-05-15,May,2017,2nd,Yes,clear,daylight,dry,no control,1,13.9,2017-05-15T19:25,2017-05-15T04:32,0.0
43,2,0,0,1,1,0,Ottawa,8TH LINE RD @ PARKWAY RD,Intersection,Unknown,Ottawa,45.28761324,-75.50099387,Ottawa,5501,3865,Sunday,18:16,18,16,PM,6:16,2017-06-25,June,2017,2nd,No,clear,daylight,wet,stop sign,1,16.8,2017-06-25T19:53,2017-06-25T04:15,0.0
44,5,0,0,2,1,0,Ottawa,STRANDHERD DR @ LONGFIELDS DR,Intersection,Barrhaven East,Nepean,45.27398861,-75.73851442,Nepean,186593,860,Monday,20:10,20,10,PM,8:10,2017-06-26,June,2017,2nd,Yes,clear,daylight,dry,traffic signal,0,15.3,2017-06-26T19:54,2017-06-26T04:16,0.0
45,2,0,0,0,1,0,Ottawa,POULIN AVE @ RICHMOND RD,Intersection,Lincoln Heights,Ottawa,45.36184363,-75.7912363,Ottawa,5501,3865,Tuesday,8:24,8,24,AM,8:24,2017-06-20,June,2017,2nd,Yes,clear,daylight,dry,traffic signal,1,18.1,2017-06-20T19:54,2017-06-20T04:14,0.0
46,3,0,0,0,1,0,Ottawa,EAGLESON RD @ HAZELDEAN RD/ROBERTSON RD,Intersection,College,Nepean,45.30407232,-75.87677319,Nepean,186593,860,Tuesday,19:41,19,41,PM,7:41,2017-06-20,June,2017,2nd,Yes,clear,daylight,dry,traffic signal,1,19.5,2017-06-20T19:54,2017-06-20T04:15,0.0
47,2,0,0,0,1,0,Ottawa,COOPER ST @ O'CONNOR ST,Intersection,Unknown,Centretown,45.41685623,-75.6949114,Centretown,25687,12231,Wednesday,16:13,16,13,PM,4:13,2017-06-21,June,2017,2nd,Yes,clear,daylight,dry,stop sign,1,21.9,2017-06-21T19:54,2017-06-21T04:14,0.0
48,1,1,0,0,1,0,Ottawa,LAURIER AVE   W,Midblock,Golden Triangle,Centretown,45.42190136,-75.69092336,Centretown,25687,12231,Tuesday,15:42,15,42,PM,3:42,2017-06-13,June,2017,2nd,Yes,clear,daylight,dry,no control,1,24.5,2017-06-13T19:52,2017-06-13T04:13,0.0
49,2,0,0,0,0,1,Ottawa,ALBION RD @ DES MESANGES DR,Intersection,Gloucester-Southgate,Gloucester,45.35291985,-75.64248308,Gloucester,150012,500,Wednesday,0:54,0,54,AM,12:54,2017-05-31,May,2017,2nd,Yes,clear,dark,wet,no control,0,13.8,2017-05-31T19:42,2017-05-31T04:18,0.0
50,2,0,0,0,1,0,Ottawa,ST. PATRICK ST @ SUSSEX DR,Intersection,Byward Market,Lowertown,45.42926907,-75.69656418,Lowertown,9605,6052,Thursday,17:24,17,24,PM,5:24,2017-06-29,June,2017,2nd,Yes,rain,daylight,wet,traffic signal,1,16.7,2017-06-29T19:55,2017-06-29T04:17,0.6
51,2,0,1,0,0,1,Ottawa,SNAKE ISLAND RD btwn 5TH LINE RD & GREY'S CREEK RD,Midblock,Unknown,Ottawa,45.21491327,-75.52296601,Ottawa,5501,3865,Sunday,19:39,19,39,PM,7:39,2017-06-04,June,2017,2nd,No,clear,daylight,dry,no control,1,14.4,2017-06-04T19:44,2017-06-04T04:16,0.3
52,2,0,1,1,1,0,Ottawa,MANOTICK MAIN ST btwn BANKFIELD RD & HIGHCROFT DR,Midblock,Unknown,Manotick,45.22814401,-75.68926413,Manotick,5315,791,Wednesday,16:30,16,30,PM,4:30,2017-06-14,June,2017,2nd,Yes,clear,daylight,dry,no control,1,21.6,2017-06-14T19:51,2017-06-14T04:14,0.0
53,2,0,0,0,1,0,Ottawa,MONTREAL RD btwn HILLSIDE DR & MONTREAL SQUARE SC,Midblock,Unknown,Ottawa,45.44187618,-75.64445556,Ottawa,5501,3865,Friday,11:43,11,43,AM,11:43,2017-06-30,June,2017,2nd,Yes,clear,daylight,dry,no control,1,21.9,2017-06-30T19:54,2017-06-30T04:17,0.0
54,2,0,0,0,1,0,Ottawa,KING EDWARD AVE @ SUSSEX DR,Intersection,Unknown,Lowertown,45.43864403,-75.69647222,Lowertown,9605,6052,Sunday,13:51,13,51,PM,1:51,2017-06-11,June,2017,2nd,No,clear,daylight,dry,traffic signal,1,29.7,2017-06-11T19:51,2017-06-11T04:14,0.0
55,2,0,0,0,1,0,Ottawa,TRIM RD btwn MILLENNIUM BLVD & SALZBURG DR,Midblock,Unknown,Orléans,45.46743963,-75.45241715,Orléans,139309,677,Wednesday,20:04,20,4,PM,8:04,2017-06-14,June,2017,2nd,Yes,clear,daylight,dry,no control,0,16.3,2017-06-14T19:51,2017-06-14T04:12,0.0
56,1,1,0,0,1,0,Ottawa,KENT ST @ LISGAR ST,Intersection,Chinatown,Centretown,45.4158132,-75.69969443,Centretown,25687,12231,Thursday,14:41,14,41,PM,2:41,2017-06-08,June,2017,2nd,Yes,clear,daylight,dry,stop sign,1,25.5,2017-06-08T19:49,2017-06-08T04:14,0.0
57,1,0,0,2,0,2,Ottawa,FERNBANK RD btwn BLACK'S SIDE RD & JINKINSON RD,Midblock,Unknown,Ottawa,45.22095298,-75.95531928,Ottawa,5501,3865,Sunday,21:21,21,21,PM,9:21,2017-06-18,June,2017,2nd,No,clear,dark,dry,no control,0,23.3,2017-06-18T19:54,2017-06-18T04:15,0.2
58,1,1,0,0,1,0,Ottawa,YORK ST WB btwn BYWARD MARKE SQ & SUSSEX DR,Midblock,Byward Market,Lowertown,45.42759457,-75.69454138,Lowertown,9605,6052,Sunday,2:04,2,4,AM,2:04,2017-06-25,June,2017,2nd,No,clear,dark,dry,no control,0,14.0,2017-06-25T19:55,2017-06-25T04:15,0.0
59,1,0,0,0,1,0,Ottawa,FRANK ST btwn BANK ST & O'CONNOR ST,Midblock,Golden Triangle,Centretown,45.41313067,-75.69244089,Centretown,25687,12231,Saturday,18:38,18,38,PM,6:38,2017-07-01,July,2017,3rd,No,clear,daylight,dry,no control,1,22.4,2017-07-01T19:54,2017-07-01T04:18,0.1
60,2,0,0,0,1,0,Ottawa,AYLMER AVE @ BANK ST,Intersection,Rideau Gardens,Old Ottawa South,45.39557916,-75.68418264,Old Ottawa South,6743,4181,Saturday,22:34,22,34,PM,10:34,2017-07-01,July,2017,3rd,No,clear,dark,wet,traffic signal,0,19.2,2017-07-01T19:54,2017-07-01T04:18,0.0
61,2,0,0,2,1,0,Ottawa,HUNT CLUB RD @ BRIDLE PATH DR/DAZE ST,Intersection,Windsor Park Village,Gloucester,45.35157365,-75.65141153,Gloucester,150012,500,Monday,9:09,9,9,AM,9:09,2017-07-03,July,2017,3rd,Yes,clear,daylight,dry,traffic signal,1,19.2,2017-07-03T19:53,2017-07-03T04:20,0.2
62,2,0,0,0,1,0,Ottawa,HERON RD @ JUNCTION AVE,Intersection,Heron Park,Ottawa,45.3778248,-75.67749602,Ottawa,5501,3865,Saturday,5:46,5,46,AM,5:46,2017-08-05,August,2017,3rd,No,clear,dawn,dry,stop sign,1,17.3,2017-08-05T19:25,2017-08-05T04:52,0.2
63,3,0,0,2,1,0,Ottawa,LANCASTER RD btwn DELRIDGE LANE & SHELBOURN LANE,Midblock,Sheffield Glen,Ottawa,45.4009732,-75.61431908,Ottawa,5501,3865,Sunday,13:01,13,1,PM,1:01,2017-08-06,August,2017,3rd,No,clear,daylight,dry,no control,1,19.3,2017-08-06T19:23,2017-08-06T04:53,0.0
64,2,0,0,2,0,1,Ottawa,MCCORDICK RD @ ROGER STEVENS DR,Intersection,Unknown,Ottawa,45.12222181,-75.73883184,Ottawa,5501,3865,Thursday,7:20,7,20,AM,7:20,2017-07-13,July,2017,3rd,Yes,clear,daylight,wet,stop sign,1,13.4,2017-07-13T19:48,2017-07-13T04:28,0.0
65,1,0,0,0,1,0,Ottawa,AIRPORT PKWY,Midblock,Riverside Park South,Ottawa,45.36815075,-75.66842818,Ottawa,5501,3865,Monday,10:44,10,44,AM,10:44,2017-07-31,July,2017,3rd,Yes,clear,daylight,dry,no control,1,24.1,2017-07-31T19:31,2017-07-31T04:46,0.0
66,1,0,0,1,1,0,Ottawa,PRINCE OF WALES DR @ WATERFORD DR,Intersection,Country Place,Nepean,45.32649541,-75.70190137,Nepean,186593,860,Thursday,14:02,14,2,PM,2:02,2017-07-27,July,2017,3rd,Yes,clear,daylight,dry,stop sign,1,23.2,2017-07-27T19:36,2017-07-27T04:42,0.0
67,2,0,0,0,0,1,Ottawa,BANK ST @ RIDEAU RD,Intersection,South Gloucester,Gloucester,45.29684829,-75.58001979,Gloucester,150012,500,Wednesday,19:47,19,47,PM,7:47,2017-07-05,July,2017,3rd,Yes,clear,daylight,dry,traffic signal,1,21.7,2017-07-05T19:52,2017-07-05T04:21,0.0
68,2,0,1,1,1,0,Ottawa,HERON RD @ JUNCTION AVE,Intersection,Heron Park,Ottawa,45.3778464,-75.67749419,Ottawa,5501,3865,Saturday,19:54,19,54,PM,7:54,2017-07-08,July,2017,3rd,No,clear,daylight,dry,stop sign,1,20.2,2017-07-08T19:52,2017-07-08T04:23,0.0
69,2,0,0,3,1,0,Ottawa,BANK ST @ CONROY RD,Intersection,Leitrim,Gloucester,45.33657556,-75.60374644,Gloucester,150012,500,Sunday,15:25,15,25,PM,3:25,2017-07-09,July,2017,3rd,No,clear,daylight,dry,traffic signal,1,21.0,2017-07-09T19:51,2017-07-09T04:24,2.6
70,2,0,3,0,1,0,Ottawa,CYR AVE @ MONTREAL RD,Intersection,Unknown,Vanier,45.43521531,-75.6638477,Vanier,18469,4622,Thursday,15:04,15,4,PM,3:04,2017-07-06,July,2017,3rd,Yes,clear,daylight,dry,stop sign,1,27.3,2017-07-06T19:53,2017-07-06T04:21,0.0
71,1,0,0,0,1,0,Ottawa,FRANK KENNY RD btwn JONQUILLE WAY & WILHAVEN DR,Midblock,Orléans East-Cumberland,Ottawa,45.49606503,-75.44996763,Ottawa,5501,3865,Thursday,15:58,15,58,PM,3:58,2017-07-06,July,2017,3rd,Yes,clear,daylight,dry,no control,1,26.7,2017-07-06T19:52,2017-07-06T04:20,0.0
72,1,1,0,0,1,0,Ottawa,DALHOUSIE ST @ RIDEAU ST,Intersection,Byward Market,Lowertown,45.42709646,-75.68971741,Lowertown,9605,6052,Tuesday,1:01,1,1,AM,1:01,2017-07-18,July,2017,3rd,Yes,clear,dark,dry,traffic signal,0,16.6,2017-07-18T19:45,2017-07-18T04:32,0.0
73,1,0,0,0,1,0,Ottawa,DONALD B. MUNRO DR btwn DIAMONDVIEW RD & VAUGHAN SIDE RD,Midblock,Unknown,Ottawa,45.33521736,-76.08025562,Ottawa,5501,3865,Tuesday,12:48,12,48,PM,12:48,2017-07-25,July,2017,3rd,Yes,clear,daylight,dry,no control,1,19.5,2017-07-25T19:40,2017-07-25T04:41,0.0
74,2,0,0,0,3,0,Ottawa,EAGLESON RD btwn BROPHY DR & OTTAWA ST,Midblock,Unknown,Nepean,45.18293167,-75.81062497,Nepean,186593,860,Saturday,3:10,3,10,AM,3:10,2017-07-29,July,2017,3rd,No,clear,dark,dry,no control,0,13.2,2017-07-29T19:34,2017-07-29T04:45,0.0
75,1,0,0,0,1,0,Ottawa,STAGECOACH RD btwn EMPIRE GROVE ST & LAKESHORE DR,Midblock,Unknown,Ottawa,45.24542209,-75.58728915,Ottawa,5501,3865,Tuesday,23:26,23,26,PM,11:26,2017-07-18,July,2017,3rd,Yes,clear,dark,dry,no control,0,20.4,2017-07-18T19:44,2017-07-18T04:32,0.0
76,2,0,0,0,2,0,Ottawa,CARP RD btwn NORMA LANE & THOMAS A. DOLAN PKWY,Midblock,Unknown,Ottawa,45.35825639,-76.06392666,Ottawa,5501,3865,Tuesday,17:46,17,46,PM,5:46,2017-08-22,August,2017,3rd,Yes,clear,daylight,wet,no control,1,20.8,2017-08-22T18:59,2017-08-22T05:14,1.1
77,2,0,0,0,1,0,Ottawa,RAVENHILL AVE @ ROOSEVELT AVE,Intersection,Highland Park,Westboro,45.38938562,-75.75583854,Westboro,11408,4545,Thursday,12:59,12,59,PM,12:59,2017-08-24,August,2017,3rd,Yes,clear,daylight,dry,yield sign,1,18.9,2017-08-24T18:55,2017-08-24T05:15,0.0
78,4,0,0,2,1,0,Ottawa,NICHOLAS ST NB btwn HWY417 IC118 RAMP52 & WALLER ST/TRANSITWAY,Midblock,Unknown,Sandy Hill,45.41923912,-75.6799623,Sandy Hill,14526,6418,Thursday,6:49,6,49,AM,6:49,2017-08-10,August,2017,3rd,Yes,clear,daylight,dry,no control,1,15.0,2017-08-10T19:17,2017-08-10T04:58,0.0
